,python,language,gender,position,race_ethnic,lgbtq,nonbin_trans
35,27,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
36,3,1,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
37,9,0,Male,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
38,20,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
39,6,0,Male,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
40,20,1,Female,undergrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
41,20,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
42,68,1,Female,Research Staff,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
43,35,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
44,2,0,Female,Postdoc,People of Color,No or Prefer not to say,Binary or Prefer not to say
45,20,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
46,71,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
47,9,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
48,20,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
49,35,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
50,9,1,Female,Industry,"White, European American, or Caucasian",Yes,Binary or Prefer not to say
51,21,0,Neither or Prefer not to say,Postdoc,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
52,21,0,Male,Research Staff,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
53,77,1,Male,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
54,54,1,Female,undergrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
55,50,0,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
56,65,0,Male,Faculty,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
57,32,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
58,46,1,Male,Research Staff,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
59,14,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
60,2,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
61,28,0,Male,grad_postgrad,People of Color,Yes,Binary or Prefer not to say
62,24,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
63,1,0,Neither or Prefer not to say,grad_postgrad,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
64,28,0,Neither or Prefer not to say,grad_postgrad,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
65,59,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
66,69,0,Male,Research Staff,People of Color,No or Prefer not to say,Binary or Prefer not to say
67,8,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
68,52,1,Male,Postdoc,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
69,1,1,Female,Government,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
70,44,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
71,29,1,Male,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
72,49,0,Neither or Prefer not to say,grad_postgrad,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
73,0,0,Neither or Prefer not to say,Research Staff,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
74,77,0,Neither or Prefer not to say,grad_postgrad,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
75,14,1,Male,Research Staff,People of Color,No or Prefer not to say,Binary or Prefer not to say
76,20,1,Female,Government,"White, European American, or Caucasian",Yes,Binary or Prefer not to say
77,48,1,Male,Postdoc,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
78,1,0,Male,Industry,People of Color,No or Prefer not to say,Binary or Prefer not to say
79,0,0,Male,Postdoc,People of Color,No or Prefer not to say,Binary or Prefer not to say
